index,zopen,zhigh,zlow,zclose,zvolume,sopen,shigh,slow,sclose,svolume,scv
2022-07-21 09:31:00,150.0,150.0,150.0,150.0,54230,136.6,138.4,136.6,138.39999389648438,4397,105.72148338284651
2022-07-21 15:00:00,162.0,164.81,158.22,162.1199951171875,321390,136.09,136.09,136.09,136.08999633789062,1719,103.95691416842917
2022-07-22 09:31:00,158.0,160.0,150.6,153.88999938964844,258530,136.1,136.1,136.1,136.10000610351562,259,103.96456046407121
2022-07-22 09:32:00,153.39,153.8,150.11,152.60000610351562,107990,137.0,137.0,136.68,136.67999267578125,445,104.40760268564759
2022-07-22 09:34:00,152.33,152.33,151.0,151.4199981689453,58680,136.2,136.2,136.2,136.1999969482422,700,104.0409418289223
2022-07-22 09:35:00,151.19,152.98,151.19,152.27999877929688,76450,136.26,136.26,136.21,136.2100067138672,950,104.04858812456435
2022-07-22 09:36:00,152.28,152.28,151.38,151.5399932861328,48010,137.38,137.38,137.38,137.3800048828125,200,104.94233051929761
2022-07-22 09:37:00,151.8,152.25,151.32,151.32000732421875,39380,136.25,137.03,136.23,136.22999572753906,638,104.06385740397148
2022-07-22 09:38:00,151.2,151.2,149.1,149.5,66120,137.06,137.06,136.25,136.25,496,104.0791383393171
2022-07-22 09:40:00,150.33,150.36,150.0,150.1999969482422,32520,137.33,137.33,137.33,137.3300018310547,400,104.90413400890283
2022-07-22 09:41:00,150.23,150.46,149.97,149.97000122070312,29980,137.71,137.71,137.71,137.7100067138672,200,105.19441350077702
2022-07-22 09:42:00,149.92,150.1,149.83,150.02999877929688,34460,137.71,137.71,137.71,137.7100067138672,200,105.19441350077702
2022-07-22 09:43:00,150.04,150.14,150.04,150.10000610351562,22500,136.46,136.46,136.46,136.4600067138672,200,104.2395590205998
2022-07-22 09:44:00,150.1,150.11,150.03,150.11000061035156,14500,137.46,137.46,137.46,137.4600067138672,200,105.00344260474156
2022-07-22 09:45:00,150.13,150.44,150.05,150.19000244140625,32550,137.38,137.38,137.38,137.3800048828125,800,104.94233051929761
2022-07-22 09:46:00,150.38,150.66,150.25,150.5,53440,137.38,137.38,136.54,136.5399932861328,1000,104.30065945010527
2022-07-22 09:48:00,149.82,149.88,149.2,149.1999969482422,22640,136.99,136.99,136.99,136.99000549316406,200,104.64441638771986
2022-07-22 09:56:00,148.55,148.95,148.22,148.9499969482422,20510,137.09,137.14,137.09,137.10000610351562,3100,104.72844404821299
2022-07-22 09:57:00,148.9,148.98,148.46,148.60000610351562,23120,137.1,137.1,137.1,137.10000610351562,1600,104.72844404821299
2022-07-22 09:58:00,148.68,148.68,148.02,148.02000427246094,12190,137.1,137.1,137.1,137.10000610351562,400,104.72844404821299
