index,zopen,zhigh,zlow,zclose,zvolume,sopen,shigh,slow,sclose,svolume,scv
2022-07-28 09:31:00,122.1,122.1,122.1,122.0999984741211,142400,20.43,20.53,20.4,20.40999984741211,77050,85.21920604347437
2022-07-28 10:01:00,122.1,124.72,122.1,124.5199966430664,183720,20.58,20.58,20.53,20.56999969482422,4934,85.887263861479
2022-07-28 10:02:00,124.55,125.1,123.68,123.68000030517578,171690,20.53,20.55,20.53,20.540000915527344,6200,85.76200799802649
2022-07-28 10:03:00,123.88,124.24,123.61,124.16000366210938,177300,20.54,20.55,20.53,20.549999237060547,7300,85.80375464325908
2022-07-28 10:04:00,124.35,124.35,123.6,123.87999725341797,146450,20.55,20.56,20.55,20.559999465942383,4200,85.84550925236904
2022-07-28 10:05:00,123.85,124.22,123.85,123.95999908447266,123860,20.56,20.56,20.53,20.530000686645508,13700,85.72025338891653
2022-07-28 10:06:00,123.94,123.99,123.82,123.88999938964844,72000,20.53,20.53,20.51,20.510000228881836,5000,85.6367441706966
2022-07-28 10:07:00,123.99,124.0,123.9,123.9000015258789,72450,20.51,20.51,20.48,20.479999542236328,22000,85.51148034336673
2022-07-28 10:08:00,123.87,124.02,123.81,124.0199966430664,89870,20.49,20.49,20.47,20.479999542236328,9100,85.51148034336673
2022-07-28 10:09:00,124.05,124.2,124.05,124.19999694824219,70440,20.5,20.51,20.5,20.510000228881836,14800,85.6367441706966
2022-07-28 10:10:00,124.22,124.22,124.06,124.05999755859375,42280,20.51,20.51,20.5,20.5,6500,85.59498956158664
2022-07-28 10:11:00,124.08,124.08,124.0,124.0,53450,20.5,20.53,20.49,20.489999771118164,1100,85.55323495247669
2022-07-28 10:12:00,123.96,123.96,123.9,123.93000030517578,31340,20.5,20.5,20.48,20.489999771118164,7500,85.55323495247669
2022-07-28 10:13:00,123.95,124.02,123.94,124.0,42890,20.49,20.5,20.48,20.5,1900,85.59498956158664
2022-07-28 10:14:00,123.97,123.99,123.93,123.94999694824219,23970,20.5,20.52,20.5,20.520000457763672,1800,85.67849877980657
2022-07-28 10:15:00,123.94,124.08,123.94,124.08000183105469,43060,20.51,20.55,20.51,20.549999237060547,12600,85.80375464325908
2022-07-28 10:16:00,124.07,124.16,124.03,124.12999725341797,40560,20.55,20.56,20.54,20.559999465942383,5200,85.84550925236904
2022-07-28 10:17:00,124.17,124.6,124.12,124.5999984741211,58270,20.56,20.58,20.56,20.56999969482422,2100,85.887263861479
2022-07-28 10:18:00,124.77,127.18,124.65,127.18000030517578,196760,20.57,20.59,20.57,20.59000015258789,8800,85.97077307969893
2022-07-28 10:19:00,127.2,127.49,125.3,125.30000305175781,217340,20.61,20.68,20.61,20.65999984741211,24300,86.26304737959128
2022-07-28 10:20:00,125.59,125.83,125.3,125.7699966430664,91540,20.66,20.66,20.61,20.610000610351562,14000,86.05428229791885
2022-07-28 10:21:00,125.56,126.3,125.53,125.91999816894531,65700,20.61,20.66,20.61,20.65999984741211,11600,86.26304737959128
2022-07-28 10:22:00,125.93,125.94,125.35,125.3499984741211,65450,20.66,20.66,20.62,20.6200008392334,7700,86.09603690702882
2022-07-28 10:23:00,125.4,125.52,125.17,125.27999877929688,39530,20.62,20.62,20.61,20.610000610351562,5200,86.05428229791885
2022-07-28 10:24:00,125.32,125.5,125.27,125.5,36290,20.61,20.66,20.61,20.6200008392334,20700,86.09603690702882
2022-07-28 10:25:00,125.48,125.53,125.34,125.47000122070312,33800,20.63,20.63,20.62,20.6299991607666,7600,86.1377835522614
2022-07-28 10:26:00,125.43,125.45,125.36,125.37000274658203,22650,20.64,20.65,20.63,20.6299991607666,5900,86.1377835522614
2022-07-28 10:27:00,125.38,125.4,125.27,125.2699966430664,37070,20.63,20.65,20.62,20.6299991607666,6400,86.1377835522614
2022-07-28 10:28:00,125.27,125.7,125.2,125.69999694824219,53450,20.65,20.65,20.64,20.639999389648438,4700,86.17953816137135
