index,zopen,zhigh,zlow,zclose,zvolume,sopen,shigh,slow,sclose,svolume,scv
2022-07-25 09:31:00,128.0,128.0,128.0,128.0,122490,20.0,20.0,19.86,19.959999084472656,29400,86.07157863075747
2022-07-25 10:01:00,128.0,128.99,125.2,125.38999938964844,118060,19.87,19.87,19.87,19.8700008392334,2900,85.68348787940232
2022-07-25 10:02:00,125.62,126.0,125.02,125.5199966430664,122920,19.87,19.88,19.86,19.860000610351562,4900,85.6403648570572
2022-07-25 10:03:00,125.68,126.74,125.68,126.73999786376953,123020,19.86,19.87,19.86,19.860000610351562,8800,85.6403648570572
2022-07-25 10:04:00,126.88,127.7,126.88,127.69000244140625,113490,19.85,19.85,19.79,19.81999969482422,26157,85.46787276767667
2022-07-25 10:05:00,127.67,129.43,127.42,127.87000274658203,152880,19.82,19.85,19.82,19.81999969482422,16843,85.46787276767667
2022-07-25 10:06:00,128.1,128.66,127.87,127.87000274658203,97870,19.8,19.81,19.8,19.809999465942383,1500,85.42474974533154
2022-07-25 10:07:00,127.49,127.87,126.55,127.87000274658203,76550,19.81,19.85,19.81,19.850000381469727,5070,85.59724183471207
2022-07-25 10:08:00,128.07,128.16,127.26,127.26000213623047,86590,19.81,19.85,19.81,19.829999923706055,6300,85.5109957900218
2022-07-25 10:09:00,127.22,127.35,127.0,127.16000366210938,44550,19.84,19.85,19.84,19.850000381469727,2800,85.59724183471207
2022-07-25 10:10:00,127.12,127.12,126.9,127.0199966430664,41650,19.84,19.86,19.84,19.860000610351562,7500,85.6403648570572
2022-07-25 10:11:00,127.02,127.51,127.0,127.5,46910,19.86,19.89,19.86,19.889999389648438,3800,85.76972569921706
2022-07-25 10:12:00,127.4,127.4,126.91,127.18000030517578,35390,19.89,19.89,19.88,19.8799991607666,3100,85.72660267687193
2022-07-25 10:13:00,127.22,127.31,127.05,127.11000061035156,22410,19.89,20.05,19.89,20.049999237060547,21000,86.45967760698812
2022-07-25 10:14:00,127.2,127.4,127.12,127.2699966430664,25400,20.06,20.08,20.02,20.020000457763672,14000,86.33031676482825
2022-07-25 10:15:00,127.3,127.4,127.23,127.30000305175781,30200,20.02,20.02,20.02,20.020000457763672,7600,86.33031676482825
2022-07-25 10:16:00,127.2,127.3,127.02,127.26000213623047,24240,20.02,20.02,20.0,20.010000228881836,11800,86.28719374248313
2022-07-25 10:17:00,127.27,127.3,126.99,127.0,38670,19.99,19.99,19.98,19.979999542236328,4100,86.15782467544773
2022-07-25 10:18:00,127.01,127.01,126.95,126.94999694824219,15980,19.96,19.96,19.96,19.959999084472656,3100,86.07157863075747
2022-07-25 10:19:00,126.95,127.05,126.91,126.95999908447266,20650,19.98,19.98,19.96,19.959999084472656,9800,86.07157863075747
2022-07-25 10:20:00,126.96,127.05,126.95,126.98999786376953,20620,19.96,19.99,19.96,19.989999771118164,10500,86.20094769779286
2022-07-25 10:21:00,127.0,127.0,126.94,126.94999694824219,10000,20.0,20.0,20.0,20.0,2000,86.24407072013798
2022-07-25 10:22:00,126.94,126.94,126.89,126.88999938964844,12580,19.98,19.98,19.97,19.969999313354492,3300,86.1147016531026
2022-07-25 10:23:00,126.89,126.93,126.89,126.91000366210938,20380,19.97,19.97,19.97,19.969999313354492,2000,86.1147016531026
2022-07-25 10:24:00,126.89,126.89,126.56,126.55999755859375,16670,19.97,19.97,19.97,19.969999313354492,300,86.1147016531026
2022-07-25 10:25:00,126.56,126.7,126.51,126.69999694824219,20050,19.97,19.97,19.97,19.969999313354492,100,86.1147016531026
2022-07-25 10:26:00,126.69,126.78,126.68,126.76000213623047,17000,19.96,19.96,19.96,19.959999084472656,100,86.07157863075747
