index,zopen,zhigh,zlow,zclose,zvolume,sopen,shigh,slow,sclose,svolume,scv
2022-08-02 09:31:00,130.0,130.0,130.0,130.0,84340,43.39,43.39,42.81,42.810001373291016,7139,88.76218406239066
2022-08-02 15:00:00,125.05,125.25,125.05,125.13500213623047,95300,40.58,40.58,40.58,40.58000183105469,7829,84.13850680293321
2022-08-03 09:31:00,125.122,125.135,124.11,124.11000061035156,85400,40.2,41.2,40.2,41.20000076293945,6915,85.4240115341892
2022-08-03 09:32:00,124.11,124.11,123.501,123.72000122070312,34160,41.58,41.58,41.18,41.18000030517578,1800,85.38254261906651
2022-08-03 09:33:00,123.81,125.001,123.81,124.5,39810,41.2,41.49,41.14,41.209999084472656,6741,85.44474203705714
2022-08-03 09:34:00,124.5,124.5,124.201,124.33999633789062,15120,41.32,41.47,41.32,41.470001220703125,997,85.98383002426525
2022-08-03 09:35:00,124.35,124.42,124.35,124.37200164794922,21400,41.35,41.35,41.22,41.220001220703125,1030,85.4654804493119
2022-08-03 09:36:00,124.372,124.49,124.35,124.41999816894531,19930,41.22,41.34,41.22,41.34000015258789,803,85.71428603066119
2022-08-03 09:37:00,124.4,124.43,124.35,124.37000274658203,31510,41.22,41.33,41.06,41.060001373291016,13377,85.13373703771722
2022-08-03 09:38:00,124.45,124.611,124.371,124.61100006103516,16320,41.06,41.23,41.06,41.22999954223633,664,85.48621095217982
2022-08-03 09:39:00,124.61,124.61,124.42,124.5,13180,41.06,41.24,41.05,41.220001220703125,5342,85.4654804493119
2022-08-03 09:40:00,124.5,124.622,124.5,124.62200164794922,13460,41.05,41.05,40.99,41.02000045776367,5628,85.05079920747185
2022-08-03 09:41:00,124.65,125.153,124.65,125.1500015258789,30780,41.02,41.04,41.02,41.02000045776367,1677,85.05079920747185
2022-08-03 09:42:00,125.156,125.79,125.153,125.7229995727539,29580,40.99,40.99,40.93,40.93000030517578,2231,84.86419304411316
2022-08-03 09:43:00,125.8,125.9,125.21,125.52999877929688,32950,40.96,40.96,40.96,40.959999084472656,30,84.92639246210379
