index,zopen,zhigh,zlow,zclose,zvolume,sopen,shigh,slow,sclose,svolume,scv
2022-07-27 09:31:00,130.0,130.0,130.0,130.0,18034,29.0,29.5,28.86,29.43000030517578,2428996,169.52765152751027
2022-07-27 14:58:00,143.0,143.0,143.0,143.0,137828,30.85,30.85,30.85,30.850000381469727,18500,177.70737546929567
2022-07-27 15:00:00,157.3,157.3,157.3,157.3000030517578,67036,31.0,31.0,31.0,31.0,535300,178.57142857142858
2022-07-28 09:31:00,173.03,188.76,173.03,188.75999450683594,23292,31.31,32.32,31.25,31.860000610351562,2076100,183.52534913796984
2022-07-28 10:01:00,207.636,207.636,207.636,207.63600158691406,135461,32.49,32.7,32.49,32.70000076293945,143800,188.3640596943517
2022-07-28 15:00:00,251.24,251.24,251.24,251.24000549316406,115211,34.1,34.1,34.1,34.099998474121094,46600,196.4285626389464
2022-07-29 09:31:00,276.364,297.0,276.364,296.0,436154,34.61,35.48,34.43,35.29999923706055,1412400,203.3410094300723
2022-07-29 09:32:00,296.439,298.8,287.187,287.18701171875,274010,35.05,35.3,34.58,34.58000183105469,823300,199.19355893464683
2022-07-29 09:33:00,286.624,286.88,279.668,280.1090087890625,210060,34.61,34.61,32.0,32.529998779296875,695200,187.3847855950281
2022-07-29 09:34:00,279.9,284.2,279.675,284.0,300514,32.9,33.85,32.81,33.439998626708984,499000,192.62672019993656
2022-07-29 09:35:00,283.866,283.866,276.939,276.9389953613281,197941,33.01,33.45,33.0,33.209999084472656,356500,191.30183804419735
2022-07-29 09:36:00,277.72,283.514,277.299,283.5140075683594,191201,33.21,34.0,33.21,34.0,292600,195.852534562212
2022-07-29 09:37:00,283.406,283.577,280.67,281.6860046386719,180214,34.09,34.09,33.36,33.58000183105469,394900,193.43319027105235
2022-07-29 09:38:00,280.671,281.212,276.365,276.364990234375,147831,33.49,33.59,33.01,33.0099983215332,288800,190.14975991666594
2022-07-29 09:39:00,276.373,278.62,276.373,276.9849853515625,176683,33.01,33.7,33.0,33.70000076293945,302307,194.1244283579462
2022-07-29 09:40:00,277.019,277.019,270.163,271.4079895019531,172186,33.49,33.77,33.46,33.599998474121094,186544,193.54837830714916
2022-07-29 09:41:00,271.62,272.0,268.52,271.0299987792969,194053,33.6,33.61,33.1,33.099998474121094,246256,190.66819397535195
2022-07-29 09:42:00,271.24,271.24,269.991,270.9540100097656,110967,33.1,33.4,33.08,33.20000076293945,223000,191.24424402614895
2022-07-29 09:43:00,270.828,275.004,269.227,275.0039978027344,150976,33.34,33.88,33.22,33.880001068115234,135000,195.16129647531818
