index,zopen,zhigh,zlow,zclose,zvolume,sopen,shigh,slow,sclose,svolume,scv
2022-08-02 09:31:00,130.0,130.0,130.0,130.0,104380,30.03,30.05,29.71,29.84000015258789,15157,93.39593161999339
2022-08-02 15:00:00,128.3,128.45,127.8,128.07000732421875,227890,29.22,29.22,29.22,29.219999313354492,22955,91.45539691190764
2022-08-03 09:31:00,128.7,131.0,128.7,129.72999572753906,296910,29.79,29.92,29.58,29.920000076293945,13586,93.64632261750843
2022-08-03 09:32:00,130.0,130.688,129.68,129.67999267578125,113970,29.93,29.93,29.78,29.799999237060547,17196,93.27073313633974
2022-08-03 09:33:00,129.555,130.88,129.53,130.22000122070312,140630,29.8,29.94,29.8,29.899999618530273,44962,93.5837233756816
2022-08-03 09:34:00,130.315,130.35,128.952,128.95199584960938,57030,29.9,29.93,29.83,29.829999923706055,13312,93.36463199907998
2022-08-03 09:35:00,128.95,129.7,128.88,129.52999877929688,71400,29.83,29.83,29.67,29.670000076293945,16703,92.86385000404991
2022-08-03 09:36:00,129.5,129.88,129.41,129.8800048828125,68860,29.61,29.76,29.61,29.639999389648438,6551,92.76995114130966
2022-08-03 09:37:00,129.92,130.32,129.61,130.10000610351562,82310,29.68,29.85,29.63,29.829999923706055,19937,93.36463199907998
2022-08-03 09:38:00,130.1,130.16,129.838,129.89999389648438,54840,29.89,29.9,29.89,29.889999389648438,8202,93.55242375476818
2022-08-03 09:39:00,129.885,129.885,129.49,129.71200561523438,33380,29.8,29.8,29.71,29.709999084472656,6600,92.98904251791129
2022-08-03 09:40:00,129.712,130.05,129.712,129.8800048828125,66610,29.7,29.72,29.64,29.719999313354492,6810,93.0203421388247
2022-08-03 09:41:00,129.767,129.965,129.716,129.89999389648438,50580,29.7,29.79,29.7,29.790000915527344,14940,93.2394394852186
2022-08-03 09:42:00,129.9,129.9,129.359,129.35899353027344,31380,29.79,29.79,29.72,29.719999313354492,22021,93.0203421388247
2022-08-03 09:43:00,129.46,129.58,129.355,129.50999450683594,32030,29.7,29.72,29.64,29.639999389648438,9777,92.76995114130966
2022-08-03 09:44:00,129.55,129.55,129.1,129.10299682617188,36010,29.63,29.68,29.63,29.68000030517578,16363,92.89514962496332
2022-08-03 09:45:00,129.103,129.45,129.01,129.25,26140,29.68,29.68,29.68,29.68000030517578,2650,92.89514962496332
2022-08-03 09:46:00,129.255,129.4,129.211,129.3300018310547,24890,29.64,29.67,29.6,29.670000076293945,10112,92.86385000404991
2022-08-03 09:47:00,129.372,129.41,129.055,129.05499267578125,14010,29.66,29.66,29.66,29.65999984741211,5474,92.83255038313649
2022-08-03 09:48:00,129.155,129.257,128.77,128.77000427246094,57530,29.66,29.66,29.63,29.6299991607666,14646,92.73865152039625
2022-08-03 09:49:00,128.8,129.1,128.666,128.8300018310547,28950,29.6,29.6,29.55,29.549999237060547,11009,92.4882605228812
